"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"12250","George Mason University (GMU)","Sociology",18500,0.67,"2014-2015","1st",NA,"$18,500",NA,NA,NA,"sociology"
"12251","University of California - Davis (UCD)","Neuroscience",28680,1.32,"2014-2015","2nd","$28,680",NA,NA,NA,NA,"neuroscience"
"12252","University of California - Davis (UCD)","Anthropology",17603,0.81,"2014-2015","3rd",NA,"$33,359",NA,"$15,756","3 quarters TAing at 50% (20 hours/week)","anthropology"
"12253","University of North Texas (UNT)","Biology",23200,1.2,"2014-2015","4th","$25,000",NA,NA,"$1,800",NA,"biology"
"12254","University of California - Davis (UCD)","Mechanical Engineering",25897,1.2,"2014-2015","4th",NA,"$15,412","$10,485",NA,"Same 'pay rate' but 49% appointment during the school year and 100% appointment during the summer.","mechanical engineering"
"12255","University of California - Davis (UCD)","Mechanical Engineering",20735,0.96,"2014-2015","4th",NA,"$17,240","$3,495",NA,"Same 'pay rate' but 49% appointment during the school year and 100% appointment during the summer.","mechanical engineering"
"12256","Emory University","Math & CS",20500,0.88,"2015-2016","1st",NA,"$20,500",NA,NA,NA,"mathematics"
"12257","University of Washington (UW)","Epidemiology",28500,1.22,"2015-2016","1st","$28,500",NA,NA,NA,NA,"epidemiology"
"12258","Vanderbilt University","Cell and Developmental Biology",28500,1.24,"2015-2016","4th","$28,500",NA,NA,NA,NA,"biology"
"12259","University of California - Davis (UCD)","Graduate Group in Applied Mathematics",24762,1.03,"2015-2016","2nd",NA,"$17,262","$7,500",NA,"GAANN fellowship includes payment of in-state tuition and fees","mathematics"
"12260","University of Kentucky (UK)","Mathematics",17250,1.01,"2014-2015","4th",NA,"$14,500","$3,000","$250",NA,"mathematics"
"12261","Georgia State University (GSU)","Computer Science",16936,0.73,"2015-2016","1st","$18,000",NA,NA,"$1,064",NA,"computer science"
"12262","Georgia State University (GSU)","Computer Science",13936,0.6,"2015-2016","1st","$15,000",NA,NA,"$1,064",NA,"computer science"
"12263","Emory University","Chemistry",24360,1.16,"2014-2015","1st","$25,000",NA,NA,"$640","Parking is $672/year, Required fees are $317/semester, or roughly $950/year (fall, spring and summer)","chemistry"
"12264","Georgia Institute of Technology (Georgia Tech)","Chemistry",37643,1.79,"2014-2015","3rd","$39,000",NA,NA,"$1,357",NA,"chemistry"
"12265","Emory University","Women's, Gender, and Sexuality Studies",19100,0.91,"2014-2015","5th",NA,"$20,000",NA,"$900",NA,"gender studies"
"12266","Tufts University (TU)","Biomedical Engineering",32000,1.15,"2015-2016","1st","$32,000",NA,NA,NA,NA,"biomed"
"12267","Emory University","Political Science",22000,1.05,"2014-2015","1st","$22,000",NA,NA,NA,"Emory is on an 11 month pay cycle for stipends currently.","political science"
"12268","Emory University","Anthropology",21650,0.93,"2015-2016","3rd","$22,000",NA,NA,"$350",NA,"anthropology"
"12269","Emory University","microbiology",30300,1.44,"2014-2015","2nd","$31,000",NA,NA,"$700",NA,"biology"
"12270","Emory University","Comparative Literature",20988,0.9,"2015-2016","4th","$22,000",NA,NA,"$1,012",NA,"literature"
"12271","Emory University","Sociology",21291,0.91,"2015-2016",NA,"$22,000",NA,NA,"$709",NA,"sociology"
"12272","Emory University","Biostatistics",22500,1.07,"2014-2015","5th","$22,500",NA,NA,NA,NA,"statistics"
"12273","Emory University","physics",24605,1.06,"2015-2016","1st","$25,000",NA,NA,"$395",NA,"physics"
"12274","University of California-Berkeley","Chemical Engineering",32000,NA,"2015-2016","6th and up","$32,000",NA,NA,NA,NA,"chemistry"
"12275","Emory University","Political Science",27000,1.16,"2015-2016","1st","$27,000",NA,NA,NA,NA,"political science"
"12276","Emory University","English",20700,0.89,"2015-2016","1st","$22,000",NA,NA,"$1,300",NA,"english"
"12277","Emory University","Microbiology and Molecular Genetics",28685,1.37,"2014-2015","5th","$29,000",NA,NA,"$315",NA,"biology"
"12278","Emory University","Neuroscience",28500,1.36,"2014-2015","1st","$29,000",NA,NA,"$500",NA,"neuroscience"
"12279","North Carolina State University (NCSU)","Sociology",16100,0.76,"2014-2015","1st",NA,"$16,400","$2,000","$2,300","Summer funding is not guaranteed, I was very lucky to receive it as a first year.","sociology"
"12280","Columbia University (CU)","Chemical Engineering",36596,1.38,"2014-2015","6th and up","$36,596",NA,NA,NA,NA,"chemistry"
"12281","Emory University","Nutrition and Health Sciences",22530,0.97,"2015-2016","1st","$22,920",NA,NA,"$390","plus health insurance","health"
"12282","Emory University","Immunology and Molecular Pathogenesis",28321,1.22,"2015-2016","5th","$29,000",NA,NA,"$679",NA,"biology"
"12283","Emory University","Religion",21200,0.91,"2015-2016","4th","$22,000",NA,NA,"$800","This is actually an 11 month stipend, at $2000/month. Since I can't support my family on $22k annually, I work several additional jobs on campus (digital scholarship and some research assistance) and do adjunct teaching, which supply, altogether, about an extra $7-8k.","religious studies"
"12284","Emory University","English",25000,1.07,"2015-2016","5th","$25,000",NA,NA,NA,"George W. Woodruff Fellowship (higher than standard fellowship and covers all fees).","english"
"12285","Emory University","MD/PhD",29500,1.4,"2014-2015","3rd","$29,500",NA,NA,NA,NA,"md/phd"
"12286","Emory University","Microbiology",31200,1.49,"2014-2015","1st","$31,200",NA,NA,NA,NA,"biology"
"12287","Emory University","chemistry",24000,1.03,"2015-2016","4th","$25,000",NA,NA,"$1,000","Parking permit: $672/yr","chemistry"
"12288","Georgia Institute of Technology/Emory University","Biomedical Engineering",24000,NA,"2014-2015","4th","$28,000",NA,NA,"$4,000","Joint program between GaTech and Emory.  We pay approx $3300 in fees for the year and ~$700 in health insurance every year.  Also if you have a family the spouse/child health plans are ridiculously expensive, so not much of an option.  there are various merit based fellowships at Tech and extracurricular work opportunities at Emory that provide additional funds on top of your base stipend (most seem to be around ~$5000 to $8000 additional)","biomed"
"12289","Emory University","Chemistry",24340,1.16,"2014-2015","2nd","$25,000",NA,NA,"$660",NA,"chemistry"
"12290","Emory University","Comparative Lit",22000,0.94,"2015-2016",NA,"$22,000",NA,NA,NA,NA,"comparative lit"
"12291","Emory University","Cancer Biology",28400,1.35,"2014-2015",NA,"$29,000",NA,NA,"$600",NA,"biology"
"12292","Emory University","Chemistry",23500,1.12,"2014-2015","2nd","$25,000",NA,NA,"$1,500",NA,"chemistry"
"12293","Emory University","Microbiology and Molecular Genetics",28000,1.2,"2015-2016","4th","$29,000",NA,NA,"$1,000",NA,"biology"
"12294","Emory University","Art History",22177,1.06,"2014-2015","3rd","$22,500",NA,NA,"$323",NA,"history"
"12295","University of Nevada - Las Vegas (UNLV)","Anthropology",13000,0.57,"2015-2016","1st",NA,"$13,000",NA,NA,NA,"anthropology"
"12296","Illinois Institute of Technology (IIT)","Computer Science",14300,0.66,"2014-2015","2nd",NA,"$16,000",NA,"$1,700",NA,"computer science"
"12297","Johns Hopkins University (JHU)","Chemical and Biomolecular Engineering",29000,1.13,"2015-2016","1st","$30,800",NA,NA,"$1,800","Required Fees ($1800) is for health insurance and matriculation fees.","biology"
"12298","Stanford University (SU)","Electrical Engineering",32000,1.28,"2014-2015","2nd","$32,000",NA,NA,NA,NA,"electrical engineering"
"12299","12","Molecular and Cellular Biology",20500,NA,"2014-2015","3rd","$22,300",NA,NA,"$1,800",NA,"biology"
"12300","Bowling Green State University (BGSU)","Communication",14600,0.88,"2014-2015","4th","$15,000",NA,NA,"$400",NA,"communication"
"12301","Tulane University (TU)","Chemical and Biochemical Engineering",23500,1.07,"2014-2015","1st","$24,500",NA,NA,"$1,000","Required fee includes mandatory fee like gym, heath center etc... The department also pays half of the health insurance per year..","chemistry"
"12302","Cornell University (CU)","Art History",26600,1.24,"2014-2015","4th","$27,000",NA,NA,"$400",NA,"history"
"12303","Bowling Green State University (BGSU)","American Culture Studies",13104,0.7,"2015-2016","2nd",NA,"$14,000",NA,"$896",NA,"american studies"
"12304","Bowling Green State University (BGSU)","School of Media and Communication",12800,0.68,"2015-2016","2nd",NA,"$13,600",NA,"$800",NA,"film and media"
"12305","Bowling Green State University (BGSU)","Media and Communication",19135,1.16,"2014-2015","2nd",NA,"$13,300","$6,600","$765","I also work additional hours during the summer months, allowing additional funding. We are also required to purchase health care and it is not subsidized by our university.","film and media"
"12306","University of Virginia (UVA)","Education",28400,1.45,"2014-2015","2nd","$28,400",NA,NA,NA,NA,"education"
"12307","Duke University (DU)","Marine Science & Conservation",22000,0.99,"2015-2016","1st",NA,"$22,000",NA,NA,NA,"marine sciences"
"12308","University of Alaska - Fairbanks (UAF)","Geophysics",26500,1.44,"2014-2015","3rd","$26,500",NA,NA,NA,"RA after becoming MS candidate. PhD is more after candidate status. MS before candidate was 24614 per annum","physics"
"12309","Clemson University (CU)","Civil Engineering",15300,0.85,"2014-2015","4th","$16,500",NA,NA,"$1,200",NA,"civil engineering"
"12310","University of Colorado - Denver (UCD)","Electrical Engineering",26800,1.39,"2014-2015","1st","$26,800",NA,NA,NA,NA,"electrical engineering"
"12311","University of North Carolina - Chapel Hill (UNC)","Nutrition",22920,1.22,"2014-2015","5th","$22,920",NA,NA,NA,NA,"nutrition"
"12312","University of Houston (UH)","chemical engineering",26000,1.35,"2014-2015","2nd","$26,000",NA,NA,NA,"PhD program.","chemistry"
"12313","University of Arizona (U of A)","EEB",15926,0.92,"2014-2015","2nd",NA,"$16,726",NA,"$800","TA at 0.50 FTE 
Receive a tuition waiver and student health insurance. Does not cover fees.","eeb"
"12314","University of California - Irvine (UCI)","EECS",22000,0.81,"2014-2015","1st","$22,000",NA,NA,NA,NA,"computer science"
"12315","University of California - Irvine (UCI)","Dev and cell",30000,1.1,"2014-2015","3rd","$30,000",NA,NA,NA,NA,"dev and cell"
"12316","University of California - Irvine (UCI)","Education",19400,0.66,"2015-2016","1st",NA,"$15,000","$5,000","$600",NA,"education"
"12317","Michigan State University (MSU)","physics",29980,1.63,"2014-2015","3rd","$30,000",NA,NA,"$20",NA,"physics"
"12318","Stanford University (SU)","Biosciences",39000,1.56,"2014-2015","3rd","$39,000",NA,NA,NA,NA,"biology"
"12319","University of Rochester (UR)","Brain and Cognitive Sciences",27645,1.29,"2015-2016",NA,"$27,665",NA,NA,"$20","extra $1K from fellowship","brain and cognitive sciences"
"12320","Indiana University","English",16000,0.74,"2015-2016","1st","$18,000",NA,NA,"$2,000",NA,"english"
"12321","University of Missouri (MU)","Chemistry",22000,1.38,"2014-2015","5th","$22,000",NA,NA,NA,NA,"chemistry"
"12322","Colorado State University (CSU)","Mechanical Engineering",20825,1.14,"2014-2015","5th","$21,000",NA,NA,"$175",NA,"mechanical engineering"
"12323","University of Florida (UF)","Mechanical & Aerospace Engineering",20700,0.91,"2015-2016","3rd","$22,700",NA,NA,"$2,000","Stipend for Graduate Research Assistantship (0.25 FTE). The award also included full tuition waiver and health insurance. The pay is quite comfortable for the cost of living in Gainesville.","mechanical engineering"
"12324","Georgia Institute of Technology (Georgia Tech)","Electrical and Computer Engineering",23637,1.13,"2014-2015","5th","$27,000",NA,NA,"$3,363","Parking permit is $774 for the whole year  and $611 for health insurance if you are buying Tech's BCBS plan. $3363 is the mandatory fee (athletic, transportation, technology, tuition, health, recreation, activity, and if applicable international student fee)","electrical engineering"
"12325","University of North Carolina - Chapel Hill (UNC)","Health Policy Management",34000,1.53,"2015-2016","5th","$34,000",NA,NA,NA,"Fellowship","health"
"12326","University of North Carolina - Chapel Hill (UNC)","Epidemiology",34000,1.81,"2014-2015","3rd","$34,000",NA,NA,NA,"Fellowship","epidemiology"
"12327","University of North Carolina - Chapel Hill (UNC)","Nutrition",22500,1.2,"2014-2015","3rd","$22,500",NA,NA,NA,NA,"nutrition"
"12328","University of North Carolina - Chapel Hill (UNC)","Nutrition",34000,1.53,"2015-2016","4th","$34,000",NA,NA,NA,"Fellowship","nutrition"
"12329","Stanford University (SU)","Computer Science",44528,1.55,"2015-2016","1st",NA,"$27,324","$17,204",NA,NA,"computer science"
"12330","University of Virginia (UVA)","Materials Science and Engineering",21000,1.07,"2014-2015","1st","$21,000",NA,NA,NA,"Goes to $22,000 after first year and $24,000 after passing qualifying exam.","material science"
"12331","University of Wisconsin - Milwaukee (UWM)","English",13223,0.67,"2014-2015",NA,NA,"$13,723",NA,"$500",NA,"english"
"12332","University of Pittsburgh","public health",25060,1.21,"2015-2016","1st","$25,060",NA,NA,NA,NA,"health"
"12333","McGill","Linguistics",20000,NA,"2014-2015","1st",NA,"$20,000",NA,NA,NA,"linguistics"
"12334","University of Notre Dame (ND)","Electrical Engineering",22140,1.08,"2015-2016","1st","$22,200",NA,NA,"$60",NA,"electrical engineering"
"12335","University of Washington (UW)","Bioengineering",28192,1.41,"2014-2015",NA,"$29,592",NA,NA,"$1,400","Fees include facilities fee,  operating fee, gym fee, bus pass; no change in stipend between years in program","biology"
"12336","University of Washington (UW)","Chemistry",28260,1.41,"2014-2015","1st","$28,260",NA,NA,NA,NA,"chemistry"
"12337","University of Southern California (USC)","Comparative Literature",29700,1.15,"2015-2016","3rd","$30,000",NA,NA,"$300",NA,"literature"
"12338","Duke University (DU)","Ece",28962,1.3,"2015-2016","1st","$28,962",NA,NA,NA,NA,"electrical engineering"
"12339","Purdue University - West Lafayette","speech language hearing sciences",12720,0.7,"2014-2015","1st",NA,"$13,000",NA,"$280",NA,"language"
"12340","Arizona State University (ASU)","Chinese",15000,0.68,"2015-2016","1st","$15,000",NA,NA,NA,NA,"chinese"
"12341","Yale University","Psychology",28550,NA,"2014-2015","1st","$29,500",NA,NA,"$950",NA,"psychology"
"12342","Boston University (BU)","Chemistry",27000,1.03,"2014-2015","4th","$27,000",NA,NA,NA,NA,"chemistry"
"12343","University of California - Berkeley","Performance Studies",18000,0.75,"2014-2015","6th and up",NA,"$18,000",NA,NA,NA,"performance studies"
"12344","Arizona State University (ASU)","Teacher's College",25000,1.31,"2014-2015","3rd",NA,"$25,000",NA,NA,"They also cover tuition and fees and medical
Insurance.  And we were given a contract that guarantees the $25,000 each year, plus tuition and fees plus health insurance for the first four years. They've really tried to make our new program competitive.","teacher's college"
"12345","University of California - Riverside (UCR)","Material Science and Engineering",21500,0.89,"2015-2016","1st","$34,000",NA,NA,"$12,500",NA,"material science"
"12346","University of Connecticut (UConn)","Economics",17571,0.72,"2015-2016","1st",NA,"$15,756","$3,000","$1,185",NA,"economics"
"12347","University of Pennsylvania","Applied Psychology & Human Development",28557,1.18,"2015-2016","2nd",NA,"$23,500","$5,057",NA,NA,"human development"
"12348","Pennsylvania State University (Penn State)","College of Communications",34650,1.54,"2015-2016","2nd",NA,"$25,790","$8,860",NA,"University Fellowship","communication"
"12349","University of North Carolina - Chapel Hill (UNC)","Physics and Astronomy",21000,0.94,"2015-2016","1st",NA,"$18,000","$5,000","$2,000","So sorry- I accidentally added summer pay twice implicitly- this is my redo!","physics"
"12350","University of North Carolina - Chapel Hill (UNC)","Physics and Astronomy",26000,1.17,"2015-2016","1st",NA,"$23,000","$5,000","$2,000","I rounded these values heavily.","physics"
"12351","Indiana University","public policy",16000,0.93,"2014-2015",NA,NA,"$16,000",NA,NA,NA,"political science"
"12352","University of Michigan - Ann Arbor (UM)","History",26600,1.35,"2014-2015","1st",NA,"$21,600","$5,000",NA,NA,"history"
"12353","Indiana University","Religious Studies",15000,0.87,"2014-2015","5th",NA,"$15,000",NA,NA,NA,"religious studies"
"12354","Texas Christian University (TCU)","history",17115,0.78,"2015-2016","3rd",NA,"$17,163",NA,"$48","$979 optional insurance fee per semester","history"
"12355","Old Dominion University (ODU)","Graduate Program in International Studies",18000,0.68,"2015-2016","2nd",NA,"$18,000",NA,NA,"In addition to the stipend my program provides, the university also offers a $600 /semester subsidy for health insurance.","graduate program in international studies"
"12356","University of Arizona (U of A)","Social & Behavioral Sciences",15000,0.86,"2014-2015","4th",NA,"$15,000",NA,NA,NA,"sociology"
"12357","University of Wisconsin - Madison (UW)","electrical engineering",22000,1.11,"2014-2015",NA,"$23,000",NA,NA,"$1,000",NA,"electrical engineering"
"12358","Stanford University (SU)","Computational and Mathematical Engineering",37500,1.5,"2014-2015",NA,"$37,500",NA,NA,NA,NA,"mathematics"
"12359","University of Virginia (UVA)","Department of English",24000,1.05,"2015-2016","1st",NA,"$24,000",NA,NA,NA,"english"
"12360","Boston University (BU)","Physics",30550,1.16,"2014-2015","2nd","$30,750",NA,NA,"$200","Health Insurance Covered","physics"
"12361","College of William and Mary (W&amp;M)","History",19400,NA,"2014-2015","5th",NA,"$14,900","$4,500",NA,"University requires proof of health insurance, will automatically charge for student plan if uninsured.","history"
"12362","University of South Carolina (USC)","Biomedical Engineering",24000,1.24,"2014-2015","2nd","$24,000",NA,NA,NA,"My pay is entirely composed of a ""Graduate Assistant"" stipend from the University. It is paid in part by the Biomedical Engineering Program and in part by my advisor.

My fiance and I live together in a house that my parent helped me purchase (they paid the down payment, closing costs, etc.; I pay the ongoing mortgage payments, utilities, etc.). Our mortgage payment is $900/month, and our utilities vary from ~$120-$350 depending on seasons. My fiance is a law student, so she lives off of student loans, giving me a set amount to help with bills when she receives her loans each semester.

Luckily, my parents also continue to support me by giving me some money each month as well as continuing to pay for my gas and car insurance.","biomed"
"12363","University of New Hampshire (UNH)","Sociology",14200,0.6,"2015-2016","1st",NA,"$16,000",NA,"$1,800",NA,"sociology"
"12364","Rice University","Business",35000,1.82,"2014-2015","1st","$35,000",NA,NA,NA,NA,"business"
"12365","University of Miami (UM)","Rosenstiel School of Marine and Atmospheric Sciences",28686,1.2,"2015-2016","1st","$29,136",NA,NA,"$450",NA,"marine sciences"
"12366","Carnegie Mellon University (CMU)","English",17410,0.84,"2015-2016","6th and up",NA,"$17,410",NA,NA,"$1,934/month","english"
"12367","Princeton University","Sociology",29600,1.35,"2014-2015","1st","$29,600",NA,NA,NA,NA,"sociology"
"12368","University of Washington (UW)","Epidemiology",26356,1.13,"2015-2016","1st","$26,556",NA,NA,"$200",NA,"epidemiology"
"12369","Stanford University (SU)","Sociology",34000,1.36,"2014-2015","5th","$34,000",NA,NA,NA,"About $8500 per quarter while on fellowship, with possibility of making more doing hourly RA work.","sociology"
"12370","University at Albany - SUNY","Economics",12200,0.62,"2014-2015","5th","$13,000",NA,NA,"$800","800 per semester if you are taking 9 credits.","economics"
"12371","Johns Hopkins University (JHU)","Sociology",28800,1.12,"2015-2016",NA,"$28,800",NA,NA,NA,NA,"sociology"
"12372","University of North Carolina - Chapel Hill (UNC)","Business",27000,1.44,"2014-2015","3rd","$27,000",NA,NA,NA,NA,"business"
"12373","University of Arizona (U of A)","Social & Behavioral Sciences",15000,0.86,"2014-2015","5th","$15,500",NA,NA,"$500","Average .5 GA at University of Arizona makes $16,388 annually while expenses according to UA Financial Aid are $20,900.","sociology"
"12374","University of Southern California (USC)","Computer Science",16917,0.72,"2014-2015","4th",NA,"$18,479",NA,"$1,562",NA,"computer science"
"12375","University of Illinois - Urbana- Champaign (UIUC)","Natural Resources",22200,1.29,"2014-2015","3rd",NA,"$18,900","$4,200","$900",NA,"natural resources"
"12376","Indiana University","Business",19024,0.88,"2015-2016","1st",NA,"$20,000","$4","$980",NA,"business"
"12377","University of California - Los Angeles (UCLA)","Chemical Engineering",30000,1.27,"2014-2015","3rd","$30,000",NA,NA,NA,NA,"chemistry"
"12378","Temple University (TU)","Biomedical Sciences",25810,1.23,"2014-2015",NA,"$26,500",NA,NA,"$690",NA,"biomed"
"12379","University of Colorado - Boulder (UCB)","Psychology",13100,0.63,"2014-2015",NA,NA,"$14,400",NA,"$1,300",NA,"psychology"
"12380","North Dakota State University (NDSU)","Natural Resources",19800,1.27,"2014-2015","1st","$19,800",NA,NA,NA,NA,"natural resources"
"12381","Rice University","Chemical and Biomolecular Engineering",26000,1.35,"2014-2015","2nd","$26,500",NA,NA,"$500",NA,"biology"
"12382","Yale University (YU)","Cell Biology",31000,1.41,"2014-2015",NA,"$31,000",NA,NA,NA,NA,"biology"
"12383","Purdue University - West Lafayette","Chemistry",23710,1.12,"2015-2016","1st","$23,710",NA,NA,NA,NA,"chemistry"
"12384","Yeshiva University (YU)","Biomedical Sciences",33000,1.11,"2015-2016","1st","$33,000",NA,NA,NA,NA,"biomed"
"12385","University of Missouri (MU)","biological sciences",23700,1.49,"2014-2015","1st","$24,000",NA,NA,"$300",NA,"biology"
"12386","INSEAD","Management",21000,NA,"2014-2015","3rd","$21,000",NA,NA,NA,"Stipend: 20,000 in FR and $36,000 in SGP, per year.
Research budget: 2000 avg per year in FR and $4080 avg per year in SGP (early-stage students get a bit less, advanced students get a bit more)
Health insurance: International health insurance paid for by the school.","management"
"12387","Massachusetts Institute of Technology (MIT)","Operations Research Center",34448,1.23,"2015-2016","1st","$34,448",NA,NA,NA,NA,"operations"
"12388","University at Albany - SUNY","Latin American, Caribbean, and US Latino Studies",14400,0.63,"2015-2016",NA,NA,"$15,000",NA,"$600",NA,"american studies"
"12389","University at Albany - SUNY","Latin American, Caribbean, and US Latino Studies",12400,0.63,"2014-2015",NA,NA,"$13,000",NA,"$600",NA,"american studies"
"12390","California Institute of Technology (Caltech)","Chemistry",34000,1.44,"2014-2015","3rd","$34,000",NA,NA,NA,"NSF GRFP the normal stipend is around 30K, health insurance runs ~$550 a year with dental an extra 100.","chemistry"
"12391","University of Alabama - Birmingham (UAB)","biomedical engineering",21000,1.1,"2014-2015","2nd","$21,000",NA,NA,NA,NA,"biomed"
"12392","Baylor University (BU)","Philosophy",19400,0.98,"2015-2016","1st",NA,"$23,000",NA,"$3,600",NA,"philosophy"
"12393","University of Pennsylvania","Neuroscience",31000,1.29,"2015-2016","6th and up","$31,000",NA,NA,NA,"health insurance (~$3000) is paid by the school on top of the stipend, and must be included in income for IRS purposes.","neuroscience"
"12394","Arizona State University (ASU)","Math",15000,0.78,"2014-2015",NA,NA,"$15,000",NA,NA,NA,"mathematics"
"12395","Rice University","Applied Physics",26500,1.38,"2014-2015","1st","$27,000",NA,NA,"$500",NA,"physics"
"12396","University of Texas Health Science Center - Houston","Neuroscience",29000,1.51,"2014-2015","1st","$29,000",NA,NA,NA,"First two years are covered by the Graduate School; tuition and fees (gym included) paid by said coverage.  Health insurance covered as well.","neuroscience"
"12397","University of Pennsylvania","Chemistry",29000,1.2,"2015-2016","1st","$29,000",NA,NA,NA,NA,"chemistry"
"12398","Pennsylvania State University (Penn State)","Chemistry",25044,1.12,"2015-2016","1st","$25,044",NA,NA,NA,NA,"chemistry"
"12399","Duke University (DU)","Pharmacology and Cancer Biology",29412,1.56,"2014-2015","6th and up","$29,412",NA,NA,NA,NA,"biology"
"12400","Eastern Virginia Medical School","Biomedical Sciences",26500,NA,"2014-2015","3rd","$26,500",NA,NA,NA,"Health Insurance provided by program.  No teaching necessary as we don't have any undergrads but TA positions are available for additional stipend money.","biomed"
"12401","University of South Alabama (USA)","College of Medicine-Biomedical Sciences",22500,1.19,"2014-2015","4th","$23,000",NA,NA,"$500","Also pays for health insurance","biomed"
"12402","Vanderbilt University","Mechanical Engineering",27000,1.18,"2015-2016",NA,"$27,000",NA,NA,NA,NA,"mechanical engineering"
"12403","Rice University","Electrical and Computer Engineering",24900,1.14,"2015-2016","4th","$26,400",NA,NA,"$1,500",NA,"electrical engineering"
"12404","Clemson University (CU)","Civil Engineering",23916,1.32,"2014-2015","2nd","$23,916",NA,NA,NA,NA,"civil engineering"
"12405","University of California - Berkeley","Political Science",29000,1.04,"2015-2016","1st","$29,000",NA,NA,NA,NA,"political science"
"12406","North Carolina State University (NCSU)","Chemistry",21000,0.99,"2014-2015","5th","$22,000",NA,NA,"$1,000",NA,"chemistry"
"12407","Duke University (DU)","Economics",21000,1.12,"2014-2015","3rd",NA,"$15,500","$5,500",NA,NA,"economics"
"12408","Emory University","Chemistry",24000,1.14,"2014-2015","1st","$25,000",NA,NA,"$1,000",NA,"chemistry"
"12409","University of South Florida (UCF)","marine science",25000,1.25,"2014-2015",NA,"$25,000",NA,NA,NA,NA,"marine sciences"
"12410","University of North Carolina - Chapel Hill (UNC)","Political Science",20000,1.06,"2014-2015",NA,"$20,000",NA,NA,NA,NA,"political science"
"12411","University of Notre Dame (ND)","History",19000,0.93,"2015-2016","1st",NA,"$19,000",NA,NA,NA,"history"
"12412","Washington University in St. Louis (Wash U)","History",20500,1.13,"2014-2015","2nd",NA,"$20,500",NA,NA,NA,"history"
"12413","University of Virginia (UVA)","History",20000,1.02,"2014-2015","2nd",NA,"$20,000",NA,NA,"Includes insurance, all tuition and fees, and gym membership. Received an additional $5,500 in summer funding, applied for separately.","history"
"12414","University of Virginia (UVA)","History",20000,1.02,"2014-2015","2nd",NA,"$20,000",NA,NA,NA,"history"
"12415","University of North Carolina - Chapel Hill (UNC)","Communication Studies",19200,1.02,"2014-2015","6th and up",NA,"$15,700","$5,000","$1,500",NA,"communication"
"12416","University of Minnesota - Twin Cities (UM)","Institute of Child Development",26300,1.15,"2015-2016","3rd",NA,"$23,000","$5,000","$1,700",NA,"institute of child development"
"12417","University of Minnesota - Twin Cities (UM)","Institute of Child Development",20100,0.88,"2015-2016","1st",NA,"$17,800","$4,000","$1,700",NA,"institute of child development"
"12418","University of Minnesota - Twin Cities (UM)","Institute of Child Development",24150,1.2,"2014-2015","2nd",NA,"$22,000","$3,850","$1,700",NA,"institute of child development"
"12419","Georgia Institute of Technology (Georgia Tech)","Materials  Science and Engineering",21656,1.03,"2014-2015","1st","$25,000",NA,NA,"$3,344",NA,"material science"
"12420","University of Illinois - Urbana- Champaign (UIUC)","Accounting",28800,1.67,"2014-2015","5th","$30,000",NA,NA,"$1,200",NA,"accounting"
"12421","University of California - Berkeley","Physics",29000,1.21,"2014-2015","2nd","$29,000",NA,NA,NA,NA,"physics"
"12422","University of Maryland - College Park (UMD)","Mechanical Engineering",31664,1.05,"2015-2016",NA,"$43,990",NA,NA,"$12,326",NA,"mechanical engineering"
"12423","University of Maryland - College Park (UMD)","Mechanical Engineering",19674,0.65,"2015-2016",NA,"$32,000",NA,NA,"$12,326",NA,"mechanical engineering"
"12424","Rice University","Religion",20200,1.05,"2014-2015","1st","$21,000",NA,NA,"$800",NA,"religious studies"
"12425","University of Illinois - Chicago (UIC)","Anatomy and Cell Biology Phd",29000,1.33,"2014-2015","1st","$29,000",NA,NA,NA,NA,"biology"
"12426","University of California - Berkeley","Electrical Engineering and Computer Sciences",41577,1.74,"2014-2015","3rd",NA,"$26,391","$15,186",NA,"Most of my salary is paid by the NSF GRFP.","electrical engineering"
"12427","Indiana University","English",18250,1.06,"2014-2015","6th and up",NA,"$15,750","$3,900","$1,400","Summer pay comes from summer teaching, not available to all. Fees vary by how many classes you take and what year you are. For full time students, it is about $700 a semester until after 90 hours of coursework, when students can opt to not pay all fees for a limited period. 
","english"
"12428","Carnegie Mellon University (CMU)","Chemistry",26524,1.54,"2014-2015","3rd","$26,524",NA,NA,NA,"Pay does not change when going between research and teaching assistantships.","chemistry"
"12429","Brandeis University","Chemistry",27500,1.08,"2014-2015","1st","$27,500",NA,NA,NA,NA,"chemistry"
"12430","University of Louisville (U of L)","Psychology",22000,1.07,"2015-2016","1st","$22,000",NA,NA,NA,NA,"psychology"
"12431","University of North Carolina - Chapel Hill (UNC)","Comparative Literature",18500,0.83,"2015-2016","1st",NA,"$18,500",NA,NA,NA,"literature"
"12432","University of Colorado - Boulder (UCB)","Political Science",14900,0.72,"2014-2015","1st","$17,200",NA,NA,"$2,300",NA,"political science"
"12433","Carnegie Mellon University (CMU)","Computer Engineering",31200,1.51,"2015-2016","1st","$31,200",NA,NA,NA,NA,"electrical engineering"
"12434","University of Central Florida (UCF)","Psychology",14000,0.6,"2015-2016","1st",NA,"$10,000","$4,000",NA,NA,"psychology"
"12435","University of Washington (UW)","Medicinal Chemistry",27600,1.38,"2014-2015","1st","$28,000",NA,NA,"$400",NA,"chemistry"
